epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62211,3.47328,66.6316,0.62019,0,0,0,0,0,23.3649,0,2e-05,2e-05,2e-05
2,15.6574,3.75408,55.2944,0.70457,0,0,0,0,0,23.3885,0,5.703e-05,5.703e-05,5.703e-05
3,22.4529,6.226,39.3534,0.9943,0,0,0,0,2.46088,24.7256,0.38178,9.01e-05,9.01e-05,9.01e-05
4,29.0894,4.30469,6.8312,0.83569,0,0,0,0,4.90983,7.14878,0.77452,0.00011921,0.00011921,0.00011921
5,35.1484,4.25454,6.99232,0.75854,0,0,0,0,4.28473,5.22841,0.69362,0.00014436,0.00014436,0.00014436
6,41.3736,4.24987,8.50057,0.74827,0,0,0,0,4.17459,4.89726,0.66017,0.00016555,0.00016555,0.00016555
7,47.2163,4.30176,5.61007,0.73765,0,0,0,0,4.19166,4.82654,0.65069,0.00018278,0.00018278,0.00018278
8,53.4585,3.94316,4.98574,0.70513,0,0,0,0,3.93089,4.73012,0.64715,0.00019605,0.00019605,0.00019605
9,59.3128,3.66917,5.28376,0.69486,0.00067,0.00231,0.00034,0.0001,3.89649,4.73391,0.65315,0.00020536,0.00020536,0.00020536
10,65.4035,3.85614,5.83818,0.70283,0,0,0,0,3.92131,4.80668,0.65908,0.00021071,0.00021071,0.00021071
11,71.2185,4.01416,4.44603,0.74046,0,0,0,0,3.89607,4.8722,0.65681,0.0002121,0.0002121,0.0002121
12,77.3288,3.43066,4.73442,0.75161,0,0,0,0,3.89607,4.8722,0.65681,0.00020953,0.00020953,0.00020953
13,84.2252,3.54168,4.72795,0.7334,0,0,0,0,4.06144,4.96843,0.65333,0.000203,0.000203,0.000203
14,90.4656,3.37731,4.35039,0.71925,0,0,0,0,4.14426,4.98999,0.65341,0.00019251,0.00019251,0.00019251
15,96.1204,3.68269,4.87776,0.71204,0,0,0,0,4.14426,4.98999,0.65341,0.00017806,0.00017806,0.00017806
16,101.699,3.38356,4.62163,0.69267,0.00067,0.00231,0.00034,3e-05,4.02833,4.89464,0.65387,0.00015965,0.00015965,0.00015965
17,107.682,3.36094,4.90478,0.73774,0,0,0,0,3.94247,4.77588,0.6515,0.00013728,0.00013728,0.00013728
18,113.553,3.55398,4.85097,0.68576,0,0,0,0,3.94247,4.77588,0.6515,0.00011095,0.00011095,0.00011095
19,119.422,3.24407,4.42564,0.67692,0,0,0,0,3.8693,4.67071,0.64579,8.066e-05,8.066e-05,8.066e-05
20,125.137,3.2923,3.75066,0.69731,0,0,0,0,3.8693,4.67071,0.64579,4.641e-05,4.641e-05,4.641e-05
