epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.344,2.04233,65.2489,0.41304,0,0,0,0,0.36371,23.7397,0.07989,1.429e-05,1.429e-05,1.429e-05
2,16.4343,5.88786,25.0712,1.15564,0,0,0,0,1.1234,24.224,0.22388,3.86259e-05,3.86259e-05,3.86259e-05
3,23.4015,5.72378,18.9798,0.99386,0,0,0,0,6.07796,13.4498,0.9861,5.73029e-05,5.73029e-05,5.73029e-05
4,30.0835,4.79169,7.91846,0.88577,0,0,0,0,4.97931,6.36188,0.80077,7.03211e-05,7.03211e-05,7.03211e-05
5,36.1671,4.34879,7.34016,0.83548,0,0,0,0,4.74375,5.75564,0.75302,7.76804e-05,7.76804e-05,7.76804e-05
6,42.3965,4.36178,6.84854,0.82647,0,0,0,0,4.79985,5.68388,0.73264,7.93809e-05,7.93809e-05,7.93809e-05
7,48.0711,4.19998,7.38687,0.77273,0,0,0,0,4.79477,5.64358,0.72463,7.54226e-05,7.54226e-05,7.54226e-05
8,54.269,4.07047,6.41839,0.7511,0,0,0,0,4.74014,5.55688,0.72208,6.58055e-05,6.58055e-05,6.58055e-05
9,60.2633,4.05997,7.25323,0.70934,0,0,0,0,4.69049,5.50078,0.72004,5.05294e-05,5.05294e-05,5.05294e-05
10,65.8569,3.99539,5.48671,0.75046,0,0,0,0,4.68006,5.48108,0.7199,2.95946e-05,2.95946e-05,2.95946e-05
