epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46646,4.72005,17.2296,1.07387,0,0,0,0,5.18755,9.75159,1.01508,4.287e-05,4.287e-05,4.287e-05
2,1.89092,3.70304,7.84817,0.93205,0,0,0,0,3.85069,6.22818,0.88297,9.95349e-05,9.95349e-05,9.95349e-05
3,2.5433,3.68325,5.97151,0.85366,0,0,0,0,3.92484,5.93251,0.86376,0.000155634,0.000155634,0.000155634
4,2.99208,3.24321,4.96991,0.82469,0,0,0,0,3.54152,4.98197,0.78015,0.000211167,0.000211167,0.000211167
5,3.37671,2.85845,4.16012,0.81687,0,0,0,0,3.24697,4.808,0.76502,0.000266134,0.000266134,0.000266134
6,3.80462,2.98085,3.89051,0.79397,0,0,0,0,3.6264,4.74248,0.76102,0.000320535,0.000320535,0.000320535
7,4.2311,3.15764,3.2148,0.77674,0,0,0,0,3.6264,4.74248,0.76102,0.000374371,0.000374371,0.000374371
8,4.62701,2.95842,3.71716,0.78638,0,0,0,0,3.67473,4.61482,0.77329,0.00042764,0.00042764,0.00042764
9,5.06137,3.26428,4.01006,0.74572,0,0,0,0,3.15315,4.31193,0.77228,0.000480344,0.000480344,0.000480344
10,5.49686,2.80286,3.0874,0.7807,0,0,0,0,3.15315,4.31193,0.77228,0.000532482,0.000532482,0.000532482
11,5.89115,2.8291,2.71811,0.76415,0,0,0,0,2.83347,4.1012,0.74728,0.000584054,0.000584054,0.000584054
12,6.30207,3.16379,3.34014,0.76267,0,0,0,0,2.83347,4.1012,0.74728,0.00063506,0.00063506,0.00063506
13,6.83435,3.02314,3.39118,0.74184,0.00185,0.00174,0.00093,9e-05,3.19296,4.10815,0.74383,0.0006855,0.0006855,0.0006855
14,7.22889,2.77503,3.13108,0.77102,0.00185,0.00174,0.00093,9e-05,3.19296,4.10815,0.74383,0.000735374,0.000735374,0.000735374
15,7.69067,2.42676,1.95268,0.8085,0.01475,0.01736,0.00942,0.00295,3.11443,4.04119,0.76078,0.000784682,0.000784682,0.000784682
